AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
130	girl	agree	disagree	agree	agree	agree	disagree strongly	disagree	agree	agree	disagree strongly	7	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	agree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree	89	80	85.3	1	15	8	Selected	State	0	1	low
130	girl	disagree	agree	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	disagree	disagree	agree	agree strongly	agree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	disagree strongly	agree	agree	disagree strongly	disagree strongly	agree	agree	agree	agree	agree	disagree	disagree	agree	agree	agree strongly	disagree	disagree strongly	disagree	agree	agree	85	80.7	82.7	0	10	6	Selected	State	0	1	low
124	boy	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree	disagree	disagree	5	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree	agree strongly	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree	agree strongly	82	81	83	1	13	7	Not Selected	Catholic	1	0	low
121	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree	helemaal niet waar	disagree	agree	disagree	agree	agree	disagree	disagree	agree strongly	agree	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree	disagree	agree	disagree	disagree	disagree	agree	agree strongly	disagree	agree strongly	agree	agree strongly	agree	disagree	agree	73	81	78.1	1	10	3	Selected	State	0	1	low
138	girl	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	8	agree	helemaal waar	agree	disagree	agree	disagree	disagree strongly	disagree	agree strongly	disagree strongly	agree	agree	agree	disagree	agree strongly	agree	disagree strongly	agree	disagree	agree	disagree	agree strongly	disagree	agree strongly	agree	agree strongly	agree	disagree	disagree	agree	agree	agree	agree strongly	agree	disagree	agree strongly	agree	57.6	81	70.4	1	10	6	Selected	State	0	1	low
125	boy	agree	agree strongly	disagree	disagree	agree	agree strongly	agree	disagree	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree strongly	disagree	disagree strongly	agree	agree strongly	disagree	disagree	agree strongly	agree	agree	agree strongly	agree strongly	agree	disagree	disagree	agree	agree strongly	agree	disagree strongly	disagree	agree strongly	disagree	agree	agree	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	disagree	disagree	agree strongly	85.9	81.2	79.5	1	14	8	Not Selected	Catholic	1	0	low
126	girl	agree	agree	agree	disagree	disagree strongly	agree	disagree strongly	disagree	agree strongly	disagree	3	agree	helemaal niet waar	disagree	agree strongly	disagree strongly	disagree	disagree	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree	disagree	agree	disagree strongly	disagree strongly	disagree	agree	disagree	agree	disagree	disagree	disagree	agree	disagree	disagree	agree strongly	agree	disagree strongly	agree	agree	disagree	80.5	81.7	79.6	1	15	8	Selected	Catholic	1	0	low
137	boy	disagree	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree	disagree	8	agree strongly	niet echt waar	agree strongly	disagree	disagree	agree	agree strongly	disagree	disagree	agree strongly	agree	agree strongly	agree	agree	disagree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree strongly	disagree	agree strongly	agree	agree	disagree	disagree	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree	disagree	agree	65	82	76	1	7	5	Not Selected	State	0	1	low
128	girl	agree	agree	disagree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree	agree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree	agree	agree	agree	agree	disagree	disagree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	disagree	agree	agree	73.39	82.14	76.05	1	14	8	Selected	Catholic	1	0	low
128	girl	agree	disagree strongly	agree	disagree	disagree strongly	disagree	disagree strongly	agree strongly	disagree	agree	2	agree	helemaal niet waar	agree	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree	disagree	agree strongly	disagree	disagree	agree strongly	disagree	agree strongly	disagree	agree	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	agree	agree strongly	disagree	disagree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	disagree	disagree strongly	disagree strongly	77.83	82.25	79.79	0	16	9	Selected	State	0	1	low
122	boy	disagree	disagree	agree	disagree strongly	disagree	agree strongly	agree	disagree	disagree	disagree strongly	7	agree strongly	een beetje waar	disagree strongly	disagree	disagree strongly	agree	agree	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree	disagree strongly	agree	agree	agree	disagree	disagree	agree	disagree strongly	agree	disagree	disagree strongly	disagree	agree	agree	80.6	82.3	81.7	1	10	6	Not Selected	State	0	1	low
125	girl	agree	agree strongly	agree	agree	agree		disagree	disagree	disagree	disagree strongly	10	agree	helemaal waar	disagree strongly	agree strongly	agree strongly	disagree	agree	disagree	disagree	disagree	agree	disagree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	disagree	agree	disagree	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree	agree strongly	agree strongly	81	83	81	0	0	2	Selected	COE	0	0	low
121	girl	disagree	agree	agree	disagree strongly	agree	agree	agree	disagree	disagree	disagree	8	agree	niet echt waar	disagree	agree	disagree strongly	agree	disagree	disagree strongly	agree	agree	agree	agree	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree	agree	disagree	disagree strongly	disagree	disagree strongly	agree	agree	agree	disagree	disagree	disagree	agree	agree	agree strongly	agree	agree	agree	agree strongly	agree	81.8	83.3	81.1	1	10	6	Selected	State	0	1	low
127	girl	agree	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree	disagree	disagree	6	disagree	niet echt waar	agree	disagree	agree	disagree	disagree	disagree strongly	agree	disagree	agree	disagree	agree	disagree	agree strongly	agree	disagree strongly	disagree	disagree strongly	disagree	agree	disagree	disagree	agree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	disagree	agree	agree	agree	disagree	disagree	agree	disagree	83.5	83.3	84.8	1	18	6	Selected	State	0	1	low
120	boy	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree	disagree	disagree	8	agree	helemaal niet waar	agree strongly	disagree	agree	agree	agree strongly	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree	agree	disagree	agree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	disagree	agree strongly	77	83.64	80.28	1	6	4	Not Selected	State	0	1	low
127	girl	disagree	agree	disagree	agree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	9	agree	helemaal niet waar	agree	agree	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	agree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree	agree	agree strongly	agree strongly	agree	disagree	agree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	agree	79.3	84	82.9	1	8	4	Selected	State	0	1	low
127	girl	agree	disagree	agree strongly	disagree strongly	disagree	agree strongly	agree	agree	agree	agree	0	agree strongly	helemaal waar	agree	disagree	disagree	disagree	disagree	disagree strongly	disagree strongly	agree	agree	agree strongly	disagree	agree	disagree	agree strongly	disagree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree	disagree	agree	disagree	disagree	disagree	disagree	disagree	agree strongly	disagree	agree strongly	disagree	disagree	disagree	disagree	disagree	66.3	84.2	81.8	1	10	6	Selected	State	0	1	low
109	boy	disagree	agree strongly	agree	agree	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	agree	9	agree strongly	helemaal niet waar	disagree	disagree strongly	disagree strongly	disagree	disagree	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	disagree	agree	agree	disagree	disagree strongly	agree	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	agree	69	84.5	74	1	6	4	Not Selected	State	0	1	low
134	girl	agree	agree	disagree	agree	agree	agree	agree	agree	disagree	agree	8	agree strongly	helemaal niet waar	agree	agree	disagree strongly	disagree	agree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	agree	agree	agree	agree	disagree	disagree	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree	80.5	84.5	83.8	1	10	6	Selected	State	0	1	low
121	girl	disagree strongly	agree	disagree strongly	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	disagree	disagree strongly	agree strongly	disagree	disagree	agree	agree	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	disagree	agree	disagree strongly	disagree	disagree	agree	agree strongly	disagree	agree	disagree	disagree	disagree strongly	agree	agree strongly	agree	agree	disagree	agree	agree	87.7	84.7	86.3	1	8	5	Selected	Catholic	1	0	low
119	boy	agree	agree	agree	agree	disagree strongly	agree strongly	agree	agree	agree strongly	disagree	7	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	disagree	agree	disagree	agree	disagree	disagree	agree	disagree	agree strongly	disagree	disagree	disagree	disagree strongly	agree	80	84.79	86.61	1	2	4	Not Selected	State	0	1	low
145	boy	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	8	agree strongly	helemaal niet waar	agree	disagree	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree	agree strongly	agree strongly	disagree	agree	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree	disagree strongly	disagree	disagree	agree	agree	disagree	disagree strongly	disagree	disagree	70	85	78	1	6	4	Not Selected	State	0	1	low
128	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	een beetje waar	disagree	disagree strongly	disagree strongly	disagree	disagree	disagree	agree	agree strongly	agree	agree	agree	disagree	agree	agree	disagree	disagree strongly	disagree	agree	disagree strongly	disagree	disagree	disagree	disagree	agree	disagree	disagree	disagree	disagree strongly	agree	agree strongly	agree	disagree	disagree	agree	disagree	84.2	85	84.6	1	10	5	Not Selected	State	0	1	low
122	boy	disagree strongly	agree	disagree	agree strongly	agree	agree strongly	agree	disagree strongly	agree	disagree strongly	9	agree strongly	een beetje waar	agree	agree	disagree strongly	agree	agree strongly	disagree	disagree strongly	disagree	agree	agree strongly	agree strongly	agree	agree	agree strongly	agree	disagree	agree strongly	agree	disagree strongly	agree strongly	agree	agree	agree strongly	disagree	agree strongly	agree strongly	agree strongly	agree	disagree	agree strongly	agree	disagree strongly	agree	agree	agree strongly	84.5	85	83.6	1	10	6	Not Selected	State	0	1	low
133	girl	disagree	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	disagree	agree	disagree strongly	9	agree	een beetje waar	disagree	agree	disagree strongly	agree	disagree	disagree	disagree	agree	agree	agree strongly	agree strongly	disagree	agree	agree	disagree	disagree strongly	disagree	disagree	disagree strongly	disagree	disagree	agree	disagree	agree	agree	disagree	agree	disagree	disagree	agree strongly	disagree	disagree	agree	agree	agree	81	85	84.5	1	15	5	Selected	Catholic	1	0	low
123	girl	disagree strongly	disagree	disagree	disagree strongly	disagree	agree strongly	disagree	agree	agree	disagree strongly	8	disagree	een beetje waar	agree	disagree	disagree strongly	agree strongly	disagree	disagree	agree	disagree	agree	agree	agree strongly	disagree	agree	agree strongly	disagree strongly	disagree strongly	disagree	agree	disagree strongly	agree	disagree	agree	agree	disagree	disagree	disagree	disagree	disagree	agree	agree	agree	disagree	disagree	agree	agree	81	85.7	81.4	0	0	8	Selected	Catholic	1	0	low
122	boy	agree	disagree strongly	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree	2	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	agree strongly	agree	agree strongly	agree	agree strongly	disagree	disagree strongly	disagree	agree	disagree strongly	disagree strongly	disagree	agree	disagree	disagree strongly	disagree	disagree	disagree strongly	agree	agree	agree strongly	disagree strongly	disagree strongly	disagree	agree	disagree	82	86	83.5	1	4	4	Not Selected	State	0	1	low
123	boy	disagree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree	disagree	disagree	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	agree	agree	disagree strongly	agree	agree	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree	agree	agree	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree	77	86	82	1	18	4	Not Selected	State	0	1	low
131	girl	disagree	agree strongly	agree strongly	disagree	agree	agree strongly	agree strongly	disagree	disagree	disagree strongly	8	agree	helemaal niet waar	agree	disagree	disagree strongly	agree	agree		disagree strongly		agree	agree strongly	agree strongly		agree strongly	agree strongly		disagree		agree	disagree	disagree strongly	agree	disagree		disagree		disagree	disagree	disagree		agree strongly	disagree	disagree	disagree	disagree		89	86	87	0	12	7	Selected	State	0	1	low
125	boy	disagree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree	agree	disagree strongly	10	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	agree	disagree strongly	disagree	agree	agree	agree	agree strongly	agree strongly	disagree	agree strongly	agree	disagree	agree	agree	agree	disagree strongly	disagree strongly	disagree	agree	disagree strongly	disagree	agree	disagree	disagree strongly	agree	agree strongly	agree strongly	agree	agree	disagree	agree	disagree	76.4	86.8	80.2	1	10	6	Not Selected	State	0	1	low
